# Метеостанция Нижний Новгород / им. В. П. Чкалова (аэропорт), Россия, METAR=UWGG, выборка с 01.05.2020 по 01.06.2020, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/metar.php?metar=UWGG&lang=ru
#
"Местное время в Нижнем Новгороде / им. В. П. Чкалова (аэропорт)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"24.05.2020 09:30";"8.0";"753.3";"760.5";"93";"Ветер, дующий с запада";"2";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Сплошная (100%) 300 м, кучево-дождевые облака";"10.0 и более";"7.0";
"24.05.2020 09:00";"8.0";"753.3";"760.5";"100";"Переменное направление";"1";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Сплошная (100%) 240 м, кучево-дождевые облака";"10.0 и более";"8.0";
"24.05.2020 08:30";"8.0";"753.3";"760.5";"100";"Ветер, дующий с северо-северо-запада";"2";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Сплошная (100%) 180 м, кучево-дождевые облака";"8.0";"8.0";
"24.05.2020 08:00";"8.0";"753.3";"760.5";"100";"Ветер, дующий с северо-запада";"4";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 240 м, кучево-дождевые облака";"9.0";"8.0";
"24.05.2020 07:30";"8.0";"753.3";"760.5";"100";"Ветер, дующий с северо-запада";"3";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 240 м, кучево-дождевые облака";"9.0";"8.0";
"24.05.2020 07:00";"8.0";"753.3";"760.5";"100";"Ветер, дующий с северо-северо-запада";"2";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 210 м, кучево-дождевые облака";"10.0 и более";"8.0";
"24.05.2020 06:30";"8.0";"753.3";"760.5";"100";"Ветер, дующий с северо-северо-запада";"3";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 270 м";"10.0 и более";"8.0";
"24.05.2020 06:00";"8.0";"753.3";"760.5";"100";"Ветер, дующий с северо-северо-запада";"3";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 270 м";"10.0 и более";"8.0";
"24.05.2020 05:30";"7.0";"754.0";"761.2";"100";"Ветер, дующий с северо-северо-запада";"2";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 300 м";"10.0 и более";"7.0";
"24.05.2020 05:00";"7.0";"754.0";"761.2";"100";"Ветер, дующий с северо-северо-запада";"3";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 300 м";"10.0 и более";"7.0";
"24.05.2020 04:30";"7.0";"754.0";"761.2";"100";"Ветер, дующий с северо-северо-запада";"3";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 300 м";"10.0 и более";"7.0";
"24.05.2020 04:00";"7.0";"754.0";"761.2";"100";"Ветер, дующий с севера";"2";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 360 м";"10.0 и более";"7.0";
"24.05.2020 03:30";"7.0";"754.8";"762.0";"100";"Ветер, дующий с севера";"2";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 360 м";"10.0 и более";"7.0";
"24.05.2020 03:00";"7.0";"754.8";"762.0";"100";"Ветер, дующий с севера";"2";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 360 м";"10.0 и более";"7.0";
"24.05.2020 02:30";"7.0";"754.8";"762.0";"100";"Ветер, дующий с северо-северо-востока";"2";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 420 м";"10.0 и более";"7.0";
"24.05.2020 02:00";"7.0";"754.8";"762.0";"100";"Ветер, дующий с севера";"2";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 420 м";"10.0 и более";"7.0";
"24.05.2020 01:30";"8.0";"754.8";"762.0";"93";"Ветер, дующий с севера";"2";"";"Слабый(ая)(ые) дождь";"";"Рассеянная (40-50%) 450 м";"9.0";"7.0";
"24.05.2020 01:00";"7.0";"755.6";"762.8";"100";"Ветер, дующий с севера";"2";"";"Слабый(ая)(ые) дождь";"";"Незначительная (10-30%) 780 м";"10.0 и более";"7.0";
"24.05.2020 00:30";"8.0";"755.6";"762.8";"93";"Ветер, дующий с севера";"3";"";"Слабый(ая)(ые) дождь";"";"Незначительная (10-30%) 780 м";"10.0 и более";"7.0";
"24.05.2020 00:00";"8.0";"755.6";"762.8";"87";"Ветер, дующий с севера";"3";"";"Слабый(ая)(ые) дождь";"";"Незначительная (10-30%) 780 м";"10.0 и более";"6.0";
"23.05.2020 23:30";"8.0";"755.6";"762.8";"87";"Ветер, дующий с севера";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"23.05.2020 23:00";"7.0";"755.6";"762.8";"93";"Ветер, дующий с севера";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"23.05.2020 22:30";"7.0";"756.3";"763.5";"93";"Ветер, дующий с северо-северо-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"23.05.2020 22:00";"8.0";"756.3";"763.5";"87";"Ветер, дующий с северо-северо-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"23.05.2020 21:30";"8.0";"756.3";"763.5";"87";"Ветер, дующий с северо-северо-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"23.05.2020 21:00";"8.0";"756.3";"763.5";"82";"Ветер, дующий с севера";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"23.05.2020 20:30";"8.0";"756.3";"763.5";"82";"Ветер, дующий с севера";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"23.05.2020 20:00";"9.0";"756.3";"763.5";"76";"Ветер, дующий с севера";"3";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"5.0";
"23.05.2020 19:30";"9.0";"756.3";"763.5";"76";"Ветер, дующий с севера";"3";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"5.0";
"23.05.2020 19:00";"10.0";"756.3";"763.5";"71";"Ветер, дующий с северо-северо-запада";"3";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"5.0";
"23.05.2020 18:30";"10.0";"756.3";"763.5";"71";"Ветер, дующий с северо-северо-запада";"3";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"5.0";
"23.05.2020 18:00";"11.0";"756.4";"763.5";"62";"Ветер, дующий с севера";"4";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"4.0";
"23.05.2020 17:30";"11.0";"756.4";"763.5";"67";"Ветер, дующий с северо-северо-запада";"3";"";"";"";"Разорванная (60-90%) 780 м";"10.0 и более";"5.0";
"23.05.2020 17:00";"11.0";"756.4";"763.5";"67";"Ветер, дующий с северо-северо-запада";"2";"";"";"";"Разорванная (60-90%) 780 м";"10.0 и более";"5.0";
"23.05.2020 16:30";"11.0";"756.4";"763.5";"62";"Ветер, дующий с северо-северо-запада";"3";"";"";"";"Разорванная (60-90%) 780 м";"10.0 и более";"4.0";
"23.05.2020 16:00";"11.0";"756.4";"763.5";"62";"Ветер, дующий с северо-северо-запада";"3";"";"";"";"Разорванная (60-90%) 780 м";"10.0 и более";"4.0";
"23.05.2020 15:30";"12.0";"756.4";"763.5";"58";"Ветер, дующий с севера";"2";"";"";"";"Разорванная (60-90%) 780 м";"10.0 и более";"4.0";
"23.05.2020 15:00";"10.0";"756.3";"763.5";"62";"Ветер, дующий с северо-северо-востока";"2";"";"";"";"Разорванная (60-90%) 780 м";"10.0 и более";"3.0";
"23.05.2020 14:30";"10.0";"756.3";"763.5";"67";"Ветер, дующий с северо-запада";"2";"";"";"";"Разорванная (60-90%) 780 м";"10.0 и более";"4.0";
"23.05.2020 14:00";"10.0";"756.3";"763.5";"62";"Ветер, дующий с северо-северо-запада";"2";"";"";"";"Сплошная (100%) 780 м";"10.0 и более";"3.0";
"23.05.2020 13:30";"10.0";"756.3";"763.5";"62";"Ветер, дующий с западо-северо-запада";"2";"";"";"";"Сплошная (100%) 780 м";"10.0 и более";"3.0";
"23.05.2020 13:00";"9.0";"756.3";"763.5";"66";"Ветер, дующий с запада";"2";"";"";"";"Сплошная (100%) 780 м";"10.0 и более";"3.0";
"23.05.2020 12:30";"9.0";"756.3";"763.5";"66";"Ветер, дующий с западо-юго-запада";"2";"";"";"";"Разорванная (60-90%) 780 м";"10.0 и более";"3.0";
"23.05.2020 12:00";"9.0";"756.3";"763.5";"71";"Штиль, безветрие";"0";"";"";"";"Разорванная (60-90%) 780 м";"10.0 и более";"4.0";
"23.05.2020 11:30";"9.0";"756.3";"763.5";"66";"Переменное направление";"1";"";"";"";"Разорванная (60-90%) 720 м";"10.0 и более";"3.0";
"23.05.2020 11:00";"8.0";"756.3";"763.5";"71";"Ветер, дующий с западо-северо-запада";"2";"";"";"";"Разорванная (60-90%) 720 м";"10.0 и более";"3.0";
"23.05.2020 10:30";"8.0";"756.3";"763.5";"71";"Ветер, дующий с северо-запада";"2";"";"";"";"Разорванная (60-90%) 690 м";"10.0 и более";"3.0";
"23.05.2020 10:00";"8.0";"755.6";"762.8";"71";"Ветер, дующий с северо-запада";"2";"";"";"";"Разорванная (60-90%) 600 м";"10.0 и более";"3.0";
"23.05.2020 09:30";"9.0";"755.6";"762.8";"71";"Ветер, дующий с севера";"2";"";"";"";"Разорванная (60-90%) 390 м";"10.0 и более";"4.0";
"23.05.2020 09:00";"8.0";"755.6";"762.8";"76";"Ветер, дующий с севера";"2";"";"";"";"Разорванная (60-90%) 390 м";"10.0 и более";"4.0";
"23.05.2020 08:30";"6.0";"755.6";"762.8";"81";"Ветер, дующий с севера";"3";"";"";"";"Разорванная (60-90%) 360 м";"10.0 и более";"3.0";
"23.05.2020 08:00";"6.0";"755.6";"762.8";"81";"Ветер, дующий с северо-северо-запада";"2";"";"";"";"Разорванная (60-90%) 360 м";"10.0 и более";"3.0";
"23.05.2020 07:30";"5.0";"755.5";"762.8";"87";"Ветер, дующий с северо-северо-запада";"3";"";"";"";"Разорванная (60-90%) 330 м";"10.0 и более";"3.0";
"23.05.2020 07:00";"5.0";"755.5";"762.8";"87";"Переменное направление";"1";"";"";"";"Разорванная (60-90%) 330 м";"10.0 и более";"3.0";
"23.05.2020 06:30";"5.0";"754.7";"762.0";"87";"Переменное направление";"1";"";"";"";"Разорванная (60-90%) 300 м";"10.0 и более";"3.0";
"23.05.2020 06:00";"4.0";"754.7";"762.0";"93";"Ветер, дующий с северо-запада";"1";"";"";"";"Разорванная (60-90%) 300 м";"10.0 и более";"3.0";
"23.05.2020 05:30";"4.0";"754.7";"762.0";"93";"Ветер, дующий с запада";"2";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"3.0";
"23.05.2020 05:00";"3.0";"754.7";"762.0";"100";"Ветер, дующий с запада";"1";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"3.0";
"23.05.2020 04:30";"3.0";"753.9";"761.2";"100";"Ветер, дующий с северо-северо-востока";"1";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"3.0";
"23.05.2020 04:00";"2.0";"753.9";"761.2";"100";"Ветер, дующий с севера";"3";"";"Поземный туман";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"2.0";
"23.05.2020 03:30";"3.0";"753.2";"760.5";"100";"Ветер, дующий с севера";"2";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"3.0";
"23.05.2020 03:00";"3.0";"753.2";"760.5";"100";"Штиль, безветрие";"0";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"3.0";
"23.05.2020 02:30";"3.0";"753.2";"760.5";"100";"Ветер, дующий с северо-запада";"2";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"3.0";
"23.05.2020 02:00";"3.0";"753.2";"760.5";"100";"Ветер, дующий с запада";"1";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"3.0";
"23.05.2020 01:30";"3.0";"753.2";"760.5";"100";"Ветер, дующий с северо-северо-востока";"2";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"3.0";
"23.05.2020 01:00";"3.0";"753.2";"760.5";"100";"Ветер, дующий с севера";"1";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"3.0";
"23.05.2020 00:30";"3.0";"753.2";"760.5";"100";"Ветер, дующий с северо-северо-запада";"1";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"3.0";
"23.05.2020 00:00";"3.0";"753.2";"760.5";"100";"Ветер, дующий с запада";"1";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"3.0";
"22.05.2020 23:30";"4.0";"753.2";"760.5";"100";"Ветер, дующий с северо-запада";"2";"";"";"";"Рассеянная (40-50%) 600 м";"10.0 и более";"4.0";
"22.05.2020 23:00";"4.0";"752.4";"759.7";"93";"Ветер, дующий с северо-северо-запада";"2";"";"";"";"Рассеянная (40-50%) 600 м";"10.0 и более";"3.0";
"22.05.2020 22:30";"6.0";"752.5";"759.7";"93";"Ветер, дующий с северо-северо-запада";"3";"";"";"";"Рассеянная (40-50%) 600 м";"10.0 и более";"5.0";
"22.05.2020 22:00";"6.0";"752.5";"759.7";"93";"Ветер, дующий с западо-северо-запада";"2";"";"";"";"Рассеянная (40-50%) 600 м";"10.0 и более";"5.0";
"22.05.2020 21:30";"6.0";"751.8";"759.0";"93";"Ветер, дующий с северо-северо-запада";"3";"";"";"";"Рассеянная (40-50%) 600 м";"10.0 и более";"5.0";
"22.05.2020 21:00";"7.0";"751.8";"759.0";"93";"Ветер, дующий с северо-северо-запада";"3";"";"";"";"Разорванная (60-90%) 510 м";"10.0 и более";"6.0";
"22.05.2020 20:30";"7.0";"751.8";"759.0";"100";"Ветер, дующий с северо-запада";"3";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 390 м";"10.0 и более";"7.0";
"22.05.2020 20:00";"8.0";"751.8";"759.0";"93";"Ветер, дующий с северо-северо-запада";"4";"";"";"";"Разорванная (60-90%) 390 м";"10.0 и более";"7.0";
"22.05.2020 19:30";"9.0";"751.9";"759.0";"94";"Ветер, дующий с северо-запада";"2";"";"";"";"Разорванная (60-90%) 600 м";"10.0 и более";"8.0";
"22.05.2020 19:00";"8.0";"751.0";"758.2";"93";"Ветер, дующий с северо-запада";"3";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 420 м";"10.0 и более";"7.0";
"22.05.2020 18:30";"9.0";"751.1";"758.2";"87";"Ветер, дующий с западо-северо-запада";"4";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 420 м";"10.0 и более";"7.0";
"22.05.2020 18:00";"10.0";"751.1";"758.2";"76";"Ветер, дующий с западо-северо-запада";"3";"";"";"";"Рассеянная (40-50%) 900 м";"10.0 и более";"6.0";
"22.05.2020 17:30";"10.0";"751.1";"758.2";"76";"Ветер, дующий с западо-северо-запада";"3";"";"";"";"Разорванная (60-90%) 600 м";"10.0 и более";"6.0";
"22.05.2020 17:00";"10.0";"751.1";"758.2";"76";"Ветер, дующий с западо-северо-запада";"4";"";"";"";"Разорванная (60-90%) 600 м";"10.0 и более";"6.0";
"22.05.2020 16:30";"10.0";"750.6";"757.7";"71";"Ветер, дующий с запада";"4";"";"";"";"Разорванная (60-90%) 600 м";"10.0 и более";"5.0";
"22.05.2020 16:00";"10.0";"750.6";"757.7";"76";"Ветер, дующий с запада";"3";"";"";"";"Разорванная (60-90%) 600 м";"10.0 и более";"6.0";
"22.05.2020 15:30";"9.0";"750.6";"757.7";"76";"Ветер, дующий с запада";"3";"";"";"";"Разорванная (60-90%) 750 м";"10.0 и более";"5.0";
"22.05.2020 15:00";"9.0";"750.6";"757.7";"76";"Ветер, дующий с запада";"4";"";"";"";"Разорванная (60-90%) 750 м";"10.0 и более";"5.0";
"22.05.2020 14:30";"9.0";"749.8";"756.9";"71";"Ветер, дующий с западо-северо-запада";"3";"";"";"";"Разорванная (60-90%) 720 м";"10.0 и более";"4.0";
"22.05.2020 14:00";"9.0";"749.8";"756.9";"71";"Ветер, дующий с западо-северо-запада";"3";"";"";"";"Сплошная (100%) 600 м";"10.0 и более";"4.0";
"22.05.2020 13:30";"9.0";"749.1";"756.2";"71";"Ветер, дующий с запада";"4";"";"";"";"Сплошная (100%) 600 м";"10.0 и более";"4.0";
"22.05.2020 13:00";"8.0";"749.1";"756.2";"76";"Ветер, дующий с запада";"4";"";"";"";"Сплошная (100%) 600 м";"10.0 и более";"4.0";
"22.05.2020 12:30";"8.0";"749.1";"756.2";"71";"Ветер, дующий с запада";"4";"";"";"";"Сплошная (100%) 600 м";"10.0 и более";"3.0";
"22.05.2020 12:00";"8.0";"748.3";"755.4";"71";"Ветер, дующий с запада";"3";"";"";"";"Сплошная (100%) 600 м";"10.0 и более";"3.0";
"22.05.2020 11:30";"7.0";"748.2";"755.4";"76";"Ветер, дующий с запада";"3";"";"";"";"Сплошная (100%) 600 м";"10.0 и более";"3.0";
"22.05.2020 11:00";"7.0";"748.2";"755.4";"76";"Ветер, дующий с юго-юго-запада";"2";"";"";"";"Сплошная (100%) 480 м";"10.0 и более";"3.0";
"22.05.2020 10:30";"6.0";"748.2";"755.4";"81";"Ветер, дующий с западо-юго-запада";"2";"";"";"";"Сплошная (100%) 480 м";"10.0 и более";"3.0";
"22.05.2020 10:00";"6.0";"747.4";"754.6";"81";"Ветер, дующий с западо-северо-запада";"2";"";"";"";"Сплошная (100%) 450 м";"10.0 и более";"3.0";
"22.05.2020 09:30";"6.0";"747.4";"754.6";"81";"Ветер, дующий с северо-запада";"2";"";"";"";"Сплошная (100%) 510 м";"10.0 и более";"3.0";
"22.05.2020 09:00";"6.0";"747.4";"754.6";"76";"Ветер, дующий с западо-северо-запада";"2";"";"";"";"Сплошная (100%) 510 м";"10.0 и более";"2.0";
"22.05.2020 08:30";"5.0";"747.4";"754.6";"81";"Переменное направление";"1";"";"";"";"Сплошная (100%) 510 м";"10.0 и более";"2.0";
"22.05.2020 08:00";"5.0";"747.4";"754.6";"81";"Ветер, дующий с запада";"2";"";"";"";"Сплошная (100%) 600 м";"10.0 и более";"2.0";
"22.05.2020 07:30";"6.0";"746.7";"753.9";"81";"Ветер, дующий с запада";"2";"";"";"";"Сплошная (100%) 510 м";"10.0 и более";"3.0";
"22.05.2020 07:00";"5.0";"746.7";"753.9";"87";"Ветер, дующий с юго-запада";"2";"";"";"";"Сплошная (100%) 450 м";"10.0 и более";"3.0";
"22.05.2020 06:30";"5.0";"746.7";"753.9";"81";"Ветер, дующий с юго-запада";"3";"";"";"";"Сплошная (100%) 420 м";"10.0 и более";"2.0";
"22.05.2020 06:00";"5.0";"746.7";"753.9";"87";"Ветер, дующий с юго-запада";"2";"";"";"";"Сплошная (100%) 420 м";"10.0 и более";"3.0";
"22.05.2020 05:30";"5.0";"747.4";"754.6";"87";"Ветер, дующий с юго-запада";"2";"";"";"";"Сплошная (100%) 390 м";"10.0 и более";"3.0";
"22.05.2020 05:00";"5.0";"746.7";"753.9";"87";"Ветер, дующий с юго-запада";"2";"";"";"";"Сплошная (100%) 390 м";"10.0 и более";"3.0";
"22.05.2020 04:30";"4.0";"746.7";"753.9";"93";"Ветер, дующий с юго-запада";"3";"";"";"";"Сплошная (100%) 390 м";"10.0 и более";"3.0";
"22.05.2020 04:00";"4.0";"746.7";"753.9";"87";"Ветер, дующий с юго-запада";"4";"";"";"";"Сплошная (100%) 390 м";"10.0 и более";"2.0";
"22.05.2020 03:30";"4.0";"747.4";"754.6";"93";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Сплошная (100%) 390 м";"10.0 и более";"3.0";
"22.05.2020 03:00";"4.0";"747.4";"754.6";"93";"Ветер, дующий с юго-запада";"2";"";"";"";"Сплошная (100%) 390 м";"10.0 и более";"3.0";
"22.05.2020 02:30";"4.0";"747.4";"754.6";"93";"Ветер, дующий с юго-запада";"3";"";"";"";"Сплошная (100%) 330 м";"10.0 и более";"3.0";
"22.05.2020 02:00";"4.0";"747.4";"754.6";"93";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Сплошная (100%) 330 м";"10.0 и более";"3.0";
"22.05.2020 01:30";"4.0";"747.4";"754.6";"93";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Сплошная (100%) 330 м";"10.0 и более";"3.0";
"22.05.2020 01:00";"4.0";"747.4";"754.6";"93";"Ветер, дующий с западо-юго-запада";"4";"";"";"";"Сплошная (100%) 330 м";"10.0 и более";"3.0";
"22.05.2020 00:30";"4.0";"747.4";"754.6";"93";"Ветер, дующий с юго-запада";"5";"";"";"";"Сплошная (100%) 330 м";"10.0 и более";"3.0";
"22.05.2020 00:00";"4.0";"747.4";"754.6";"93";"Ветер, дующий с юго-запада";"3";"";"";"";"Сплошная (100%) 330 м";"10.0 и более";"3.0";
"21.05.2020 23:30";"4.0";"747.4";"754.6";"93";"Ветер, дующий с юго-запада";"3";"";"";"";"Сплошная (100%) 330 м";"10.0 и более";"3.0";
"21.05.2020 23:00";"5.0";"747.4";"754.6";"93";"Ветер, дующий с юго-запада";"4";"";"";"";"Сплошная (100%) 330 м";"10.0 и более";"4.0";
"21.05.2020 22:30";"5.0";"747.4";"754.6";"93";"Ветер, дующий с юго-запада";"4";"";"";"";"Сплошная (100%) 330 м";"10.0 и более";"4.0";
"21.05.2020 22:00";"5.0";"747.4";"754.6";"100";"Ветер, дующий с юго-запада";"4";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Сплошная (100%) 300 м, кучево-дождевые облака";"10.0 и более";"5.0";
"21.05.2020 21:30";"6.0";"747.4";"754.6";"100";"Ветер, дующий с западо-юго-запада";"2";"";"";"";"Сплошная (100%) 750 м, кучево-дождевые облака";"10.0 и более";"6.0";
"21.05.2020 21:00";"6.0";"747.4";"754.6";"100";"Ветер, дующий с запада";"2";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Сплошная (100%) 270 м, кучево-дождевые облака";"10.0 и более";"6.0";
"21.05.2020 20:30";"7.0";"747.5";"754.6";"93";"Ветер, дующий с западо-юго-запада";"3";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Сплошная (100%) 300 м, кучево-дождевые облака";"7.0";"6.0";
"21.05.2020 20:00";"7.0";"747.5";"754.6";"93";"Ветер, дующий с юго-запада";"3";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 360 м, кучево-дождевые облака";"10.0 и более";"6.0";
"21.05.2020 19:30";"8.0";"747.5";"754.6";"87";"Ветер, дующий с юго-запада";"4";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 450 м, кучево-дождевые облака";"10.0 и более";"6.0";
"21.05.2020 19:00";"8.0";"747.5";"754.6";"87";"Ветер, дующий с западо-юго-запада";"3";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 990 м, кучево-дождевые облака";"10.0 и более";"6.0";
"21.05.2020 18:30";"9.0";"747.5";"754.6";"82";"Ветер, дующий с юго-запада";"4";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 360 м, кучево-дождевые облака";"10.0 и более";"6.0";
"21.05.2020 18:00";"10.0";"746.8";"753.9";"76";"Ветер, дующий с западо-юго-запада";"4";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 360 м, кучево-дождевые облака";"10.0 и более";"6.0";
"21.05.2020 17:30";"11.0";"746.9";"753.9";"67";"Ветер, дующий с запада";"4";"";"";"";"Разорванная (60-90%) 900 м, кучево-дождевые облака";"10.0 и более";"5.0";
"21.05.2020 17:00";"11.0";"746.9";"753.9";"72";"Ветер, дующий с юго-запада";"7";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 900 м, кучево-дождевые облака";"10.0 и более";"6.0";
"21.05.2020 16:30";"12.0";"746.9";"753.9";"63";"Ветер, дующий с западо-юго-запада";"6";"";"";"";"Разорванная (60-90%) 600 м, кучево-дождевые облака";"10.0 и более";"5.0";
"21.05.2020 16:00";"13.0";"746.1";"753.1";"59";"Ветер, дующий с западо-юго-запада";"7";"";"";"";"Разорванная (60-90%) 600 м, кучево-дождевые облака";"10.0 и более";"5.0";
"21.05.2020 15:30";"16.0";"746.2";"753.1";"31";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Разорванная (60-90%) 600 м, кучево-дождевые облака";"10.0 и более";"-1.0";
"21.05.2020 15:00";"16.0";"746.2";"753.1";"34";"Ветер, дующий с востока";"3";"";"";"";"Разорванная (60-90%) 600 м, кучево-дождевые облака";"10.0 и более";"0.0";
"21.05.2020 14:30";"15.0";"746.2";"753.1";"34";"Ветер, дующий с востока";"4";"11";"";"";"Разорванная (60-90%) 600 м, кучево-дождевые облака";"10.0 и более";"-1.0";
"21.05.2020 14:00";"15.0";"746.2";"753.1";"36";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"0.0";
"21.05.2020 13:30";"16.0";"746.2";"753.1";"31";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-1.0";
"21.05.2020 13:00";"17.0";"746.2";"753.1";"32";"Ветер, дующий с востока";"4";"";"";"";"Рассеянная (40-50%) 1200 м";"10.0 и более";"0.0";
"21.05.2020 12:30";"15.0";"746.2";"753.1";"34";"Ветер, дующий с юго-востока";"3";"";"";"";"Рассеянная (40-50%) 1200 м";"10.0 и более";"-1.0";
"21.05.2020 12:00";"16.0";"746.2";"753.1";"34";"Ветер, дующий с востока";"4";"9";"";"";"Рассеянная (40-50%) 1200 м";"10.0 и более";"0.0";
"21.05.2020 11:30";"16.0";"746.2";"753.1";"34";"Ветер, дующий с востока";"4";"";"";"";"Рассеянная (40-50%) 1200 м";"10.0 и более";"0.0";
"21.05.2020 11:00";"16.0";"747.0";"753.9";"36";"Ветер, дующий с востока";"3";"";"";"";"Рассеянная (40-50%) 1200 м";"10.0 и более";"1.0";
"21.05.2020 10:30";"14.0";"746.9";"753.9";"39";"Ветер, дующий с юго-востока";"3";"";"";"";"Рассеянная (40-50%) 1200 м";"10.0 и более";"0.0";
"21.05.2020 10:00";"14.0";"746.9";"753.9";"39";"Ветер, дующий с юго-востока";"4";"";"";"";"Рассеянная (40-50%) 1200 м";"10.0 и более";"0.0";
"21.05.2020 09:30";"14.0";"746.9";"753.9";"39";"Ветер, дующий с юго-востока";"4";"";"";"";"Незначительная (10-30%) 1200 м";"10.0 и более";"0.0";
"21.05.2020 09:00";"13.0";"746.9";"753.9";"47";"Ветер, дующий с востока";"3";"";"";"";"Незначительная (10-30%) 1200 м";"10.0 и более";"2.0";
"21.05.2020 08:30";"13.0";"746.9";"753.9";"47";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"2.0";
"21.05.2020 08:00";"12.0";"746.9";"753.9";"51";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"2.0";
"21.05.2020 07:30";"11.0";"746.9";"753.9";"58";"Ветер, дующий с востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"3.0";
"21.05.2020 07:00";"10.0";"747.5";"754.6";"62";"Ветер, дующий с востоко-юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"3.0";
"21.05.2020 06:30";"8.0";"747.5";"754.6";"82";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
